scorer,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020
bodyparts,head1,head1,head1,body1,body1,body1,tail1,tail1,tail1,head2,head2,head2,body2,body2,body2,tail2,tail2,tail2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
57,48.911297,599.9832,0.22069678,36.801857,594.1133,0.29905024,35.72718,605.7777,0.2042347,290.5431,519.67267,0.35156173,45.04823,566.3284,0.21641712,47.80973,570.28424,0.15354438
58,48.972908,600.0641,0.22147849,37.355793,594.0257,0.2974026,36.05545,605.4535,0.2055126,290.46948,519.713,0.35266542,45.35406,566.22174,0.21389396,47.922737,570.13367,0.1527558
59,48.453815,600.2135,0.21143363,37.12899,594.2614,0.2963653,35.740635,605.51373,0.20558321,290.289,519.5722,0.3431815,45.387043,566.1826,0.21840377,47.758686,569.99805,0.15967782
60,48.26143,600.31,0.19480185,36.9871,594.25916,0.2924565,35.544613,605.423,0.19945297,289.9487,519.3149,0.34895784,45.115242,566.15137,0.21196383,47.762707,569.8186,0.15887216
61,48.268593,600.71,0.19254068,36.931004,594.4233,0.2883669,35.745914,605.48895,0.20299666,289.8723,519.30945,0.3478779,45.369556,565.755,0.2156362,47.741066,569.31006,0.1597906
62,48.194096,600.4895,0.1963814,36.95897,594.52356,0.28730425,35.799335,605.768,0.19636218,289.72525,519.43176,0.3445085,45.220345,566.02527,0.22016755,47.609196,569.6527,0.16310793
63,48.499615,600.4059,0.20428903,36.911644,594.29565,0.29473522,35.7718,605.46875,0.2037506,289.6695,519.20654,0.34520242,45.21936,566.34064,0.21768498,47.81805,569.9622,0.15567788
64,48.85301,600.3697,0.21649459,36.85836,594.2505,0.30311075,35.836166,605.4965,0.21124808,289.72568,519.1875,0.34270662,45.202084,566.38275,0.21352784,47.96607,570.18835,0.15063855
65,48.568268,600.6759,0.2044348,36.7471,594.4937,0.29571477,35.69338,605.8594,0.20469053,289.28336,519.27954,0.33794308,45.00884,566.4804,0.21384694,47.78061,570.28644,0.15428251
66,48.37326,600.37036,0.19894591,36.92231,594.32263,0.2933145,35.68122,605.54193,0.19866483,289.06107,519.2884,0.3400186,44.746284,566.36597,0.22221123,47.608456,570.28503,0.16267477
67,48.456367,600.11865,0.20801358,36.947895,594.1716,0.30105034,35.67401,605.6469,0.20078218,288.83844,519.195,0.33643967,44.718224,566.3937,0.22575988,47.401405,570.3347,0.16170889
68,48.194313,600.4179,0.20206784,36.704517,594.2946,0.29446688,35.61916,605.621,0.19841269,288.4909,518.8622,0.32336175,44.936623,566.1608,0.2196235,47.550056,569.8608,0.15926296
69,48.405,600.1088,0.19584894,37.24394,594.3358,0.2845706,35.811817,605.39966,0.19773617,288.45834,518.8593,0.3267988,45.040703,566.16095,0.21435851,47.660576,569.9641,0.1567494
70,48.426773,599.8443,0.19563784,37.41028,594.2826,0.28701618,35.646763,605.55743,0.19696645,288.14224,518.3627,0.32952112,45.175182,566.16766,0.22133446,47.522545,570.01624,0.16241461
71,48.114693,600.0666,0.1989541,36.952576,594.2701,0.2851133,35.56255,605.4774,0.19374888,287.9566,518.22845,0.3277896,45.19949,565.92535,0.22365388,47.62668,569.82654,0.16437417
72,48.77295,599.8775,0.21104874,37.09213,593.81415,0.28466764,35.987907,605.2283,0.19917807,287.8414,518.3395,0.32301962,45.170895,566.0424,0.21164498,47.78525,570.0413,0.15377758
73,48.740833,600.08527,0.2066874,37.11602,593.8505,0.2860959,36.11704,605.3781,0.20287628,288.04898,518.15857,0.32232475,44.996323,566.02563,0.21564361,47.67041,569.8338,0.15715022
74,48.85559,599.8754,0.20627773,37.116203,593.806,0.27235323,36.470406,605.5979,0.19444965,288.0039,518.0988,0.31912178,45.19715,565.9314,0.21696693,47.671528,569.62805,0.1588587
75,48.95652,600.0707,0.20980522,37.15559,594.1757,0.2828102,36.131718,605.6706,0.19963376,287.97003,517.97754,0.3142075,45.123386,565.7894,0.2153516,47.555885,569.46326,0.15714207
76,48.58754,599.1672,0.19334543,37.89634,579.1415,0.25153735,36.218544,605.55005,0.1732117,287.49692,517.6977,0.3049482,44.778763,565.7459,0.2142468,47.800785,569.63983,0.14918008
77,48.235786,598.5848,0.19110066,37.56453,578.86115,0.2499411,36.43675,605.4324,0.1675954,287.6795,517.6634,0.30627668,44.69033,565.7173,0.22141421,47.56051,569.5991,0.15345219
78,48.129814,598.30804,0.1917699,37.317154,578.766,0.25057897,36.23698,605.1771,0.16790614,287.4824,517.4986,0.29875213,44.79405,565.8451,0.21904555,47.707672,569.84717,0.15139252
79,48.423218,597.79944,0.1920937,37.203705,579.07794,0.24766077,36.409767,604.9298,0.15983014,287.4371,517.4814,0.28622034,44.873993,565.98444,0.2184167,47.86554,570.0966,0.14297077
80,51.202404,585.6426,0.19307388,36.70946,578.6519,0.2524624,36.983597,592.2267,0.16289742,287.36224,517.3649,0.2871061,44.71859,566.2257,0.22265758,47.85081,570.56793,0.14574608
81,50.768158,585.15265,0.19843522,36.486507,578.5252,0.2633368,36.50094,592.08374,0.17384116,287.2165,517.2404,0.2792286,44.65321,566.0805,0.22835103,47.585297,570.4961,0.15142915
82,50.55773,584.57874,0.19226018,36.411415,578.2355,0.26929435,36.045284,591.69196,0.17593388,287.4798,517.2144,0.27717283,44.576256,566.0175,0.23124012,47.312805,570.1227,0.15714656
83,50.526974,584.6359,0.20154653,36.47601,577.9941,0.27730533,36.07892,591.41187,0.186853,286.73328,516.9346,0.2642991,44.891373,565.695,0.24094504,47.5118,570.28284,0.16094436
84,50.50305,584.2507,0.19812995,36.674183,577.8042,0.28298375,35.699764,590.8435,0.19458856,286.8902,516.86707,0.26391858,44.922306,565.61554,0.23955087,47.45964,570.2873,0.16125666
